pygame 1.9.6
Hello from the pygame community. https://www.pygame.org/contribute.html
         4300057 function calls (4170202 primitive calls) in 6.013 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       20    0.000    0.000    0.030    0.002 six.py:80(_import_module)
     1371    0.008    0.000    0.030    0.000 ops.py:2624(get_attr)
        2    0.000    0.000    0.030    0.015 convolutional.py:146(build)
    11143    0.010    0.000    0.030    0.000 {built-in method builtins.any}
        7    0.000    0.000    0.030    0.004 __init__.py:2(<module>)
        2    0.000    0.000    0.030    0.015 text.py:3(<module>)
        1    0.000    0.000    0.030    0.030 recurrent.py:490(build)
       14    0.000    0.000    0.030    0.002 six.py:159(_resolve)
        1    0.000    0.000    0.030    0.030 recurrent.py:2135(build)
     7557    0.010    0.000    0.029    0.000 nest.py:152(_yield_sorted_items)
        1    0.000    0.000    0.029    0.029 structure.py:15(<module>)
     1083    0.029    0.000    0.029    0.000 {built-in method numpy.zeros}
        1    0.000    0.000    0.029    0.029 request.py:68(<module>)
        6    0.000    0.000    0.029    0.005 init_ops.py:508(__call__)
  218/190    0.004    0.000    0.029    0.000 module.py:128(__getattr__)
        6    0.000    0.000    0.029    0.005 random_ops.py:188(random_uniform)
      550    0.003    0.000    0.028    0.000 callbacks.py:60(configure_callbacks)
     2294    0.010    0.000    0.028    0.000 network.py:449(__setattr__)
        1    0.007    0.007    0.028    0.028 backend_gtk3.py:342(__init__)
        1    0.000    0.000    0.028    0.028 __init__.py:101(<module>)
        6    0.000    0.000    0.027    0.005 activations.py:253(hard_sigmoid)
        6    0.000    0.000    0.027    0.005 backend.py:4259(hard_sigmoid)
        1    0.000    0.000    0.027    0.027 requirements.py:4(<module>)
        8    0.000    0.000    0.027    0.003 array_ops.py:891(_SliceHelperVar)
    18159    0.007    0.000    0.026    0.000 abc.py:137(__instancecheck__)
     4050    0.006    0.000    0.026    0.000 game.py:54(place_food)
       12    0.002    0.000    0.026    0.002 artist.py:1277(_get_setters_and_targets)
        1    0.000    0.000    0.026    0.026 client.py:69(<module>)
     8107    0.008    0.000    0.026    0.000 ops.py:5624(get_default)
        1    0.016    0.016    0.026    0.026 Gdk.py:22(<module>)
        9    0.000    0.000    0.026    0.003 __init__.py:8(<module>)
       44    0.000    0.000    0.025    0.001 gen_math_ops.py:6455(mul)
     2591    0.022    0.000    0.025    0.000 tf_stack.py:32(extract_stack)
    15913    0.022    0.000    0.025    0.000 object_identity.py:115(__init__)
        2    0.000    0.000    0.025    0.012 ops.py:15(<module>)
     3964    0.010    0.000    0.024    0.000 <frozen importlib._bootstrap_external>:271(cache_from_source)
        1    0.000    0.000    0.024    0.024 v1.py:19(<module>)
        1    0.000    0.000    0.024    0.024 ssl.py:91(<module>)
       34    0.000    0.000    0.024    0.001 resource_variable_ops.py:845(value)
    26/22    0.000    0.000    0.024    0.001 tf_should_use.py:192(wrapped)
        1    0.001    0.001    0.023    0.023 Gtk.py:22(<module>)
    12851    0.021    0.000    0.023    0.000 contextlib.py:81(__init__)
     5401    0.004    0.000    0.023    0.000 nest.py:210(flatten)
      408    0.001    0.000    0.023    0.000 artist.py:1241(get_valid_values)
       45    0.000    0.000    0.023    0.001 array_ops.py:991(stack)
        1    0.000    0.000    0.023    0.023 gradient_descent.py:143(get_config)
     2714    0.008    0.000    0.023    0.000 ops.py:6074(_get_graph_from_inputs)
      376    0.001    0.000    0.023    0.000 __init__.py:2124(distributions_from_metadata)
        3    0.000    0.000    0.022    0.007 optimizer_v2.py:688(_serialize_hyperparameter)
        3    0.000    0.000    0.022    0.007 backend.py:2965(get_value)
 1983/299    0.008    0.000    0.022    0.000 sre_compile.py:71(_compile)
   225426    0.022    0.000    0.022    0.000 {method 'append' of 'list' objects}
        1    0.000    0.000    0.022    0.022 training.py:16(<module>)
      746    0.005    0.000    0.022    0.000 ops.py:3652(_create_op_helper)
        1    0.001    0.001    0.022    0.022 gen_array_ops.py:5(<module>)
        3    0.000    0.000    0.021    0.007 resource_variable_ops.py:896(eval)
        3    0.000    0.000    0.021    0.007 ops.py:710(eval)
        3    0.000    0.000    0.021    0.007 ops.py:5542(_eval_using_default_session)
    18922    0.020    0.000    0.020    0.000 ai.py:12(__init__)
        1    0.020    0.020    0.020    0.020 ssl.py:801(SSLSocket)
     1614    0.001    0.000    0.020    0.000 artist.py:1319(is_alias)
     3427    0.005    0.000    0.020    0.000 tf_export.py:255(__init__)
     1437    0.002    0.000    0.020    0.000 c_api_util.py:176(tf_output)
    98793    0.020    0.000    0.020    0.000 object_identity.py:32(__init__)
        6    0.000    0.000    0.020    0.003 __init__.py:35(load_module)
    18159    0.014    0.000    0.020    0.000 {built-in method _abc._abc_instancecheck}
        1    0.000    0.000    0.019    0.019 __init__.py:569(_build_master)
        1    0.000    0.000    0.019    0.019 __init__.py:556(__init__)
        1    0.000    0.000    0.019    0.019 network.py:17(<module>)
    17944    0.013    0.000    0.019    0.000 random.py:224(_randbelow)
     1707    0.002    0.000    0.019    0.000 nest.py:515(<listcomp>)
     5401    0.003    0.000    0.019    0.000 pywrap_tensorflow_internal.py:2530(Flatten)
     3212    0.009    0.000    0.019    0.000 nest.py:115(_sequence_like)
     4057    0.003    0.000    0.019    0.000 <frozen importlib._bootstrap>:403(cached)
      188    0.001    0.000    0.018    0.000 __init__.py:2578(from_location)
    17729    0.009    0.000    0.018    0.000 enum.py:284(__call__)
        4    0.000    0.000    0.018    0.005 math_grad.py:1032(_MulGrad)
     4070    0.002    0.000    0.018    0.000 <frozen importlib._bootstrap_external>:93(_path_isfile)
       30    0.000    0.000    0.018    0.001 array_ops.py:333(shape_internal)
       38    0.000    0.000    0.018    0.000 gen_resource_variable_ops.py:1472(var_is_initialized_op)
      124    0.000    0.000    0.018    0.000 control_flow_ops.py:2460(AddOp)
     3327    0.005    0.000    0.018    0.000 tf_export.py:312(__call__)
      746    0.017    0.000    0.017    0.000 {built-in method _pywrap_tensorflow_internal.TF_FinishOperation}
     4401    0.003    0.000    0.017    0.000 <frozen importlib._bootstrap_external>:84(_path_is_mode_type)
     8856    0.008    0.000    0.017    0.000 tf_decorator.py:198(unwrap)
       28    0.000    0.000    0.017    0.001 gen_math_ops.py:343(add)
        1    0.000    0.000    0.017    0.017 variables.py:15(<module>)
       28    0.000    0.000    0.017    0.001 array_ops.py:307(shape)
